text,intent_name
Kapan jadwal registrasi mahasiswa baru Universitas Budi Luhur tahun ajaran 2025/2026?,registrasi_mahasiswa_baru
Mohon informasi tanggal mulai dan berakhirnya registrasi mahasiswa baru.,registrasi_mahasiswa_baru
Kapan pendaftaran mahasiswa baru dibuka?,registrasi_mahasiswa_baru
Kapan mulai daftar kuliah baru di Budi Luhur?,registrasi_mahasiswa_baru
Registrasi mahasiswa baru mulai kapan ya?,registrasi_mahasiswa_baru
Kapan sih bisa daftar jadi mahasiswa UBL?,registrasi_mahasiswa_baru
Daftar ulang mahasiswa baru sampai tanggal berapa?,registrasi_mahasiswa_baru
Saya ingin tahu kapan registrasi maba dimulai?,registrasi_mahasiswa_baru
Kapan penerimaan mahasiswa baru UBL dibuka?,registrasi_mahasiswa_baru
Apakah pendaftaran mahasiswa baru sudah bisa dilakukan sekarang?,registrasi_mahasiswa_baru
Kapan jadwal daftar ulang mahasiswa baru?,registrasi_mahasiswa_baru
Kapan mulai registrasi ulang mahasiswa baru semester gasal?,registrasi_mahasiswa_baru
Daftar ulang maba UBL 2025 buka tanggal berapa ya?,registrasi_mahasiswa_baru
Pendaftaran mahasiswa baru masih dibuka gak?,registrasi_mahasiswa_baru
Udah bisa daftar jadi mahasiswa baru belum?,registrasi_mahasiswa_baru
Kapan terakhir daftar kuliah di UBL?,registrasi_mahasiswa_baru
Kapan gelombang pendaftaran UBL ditutup?,registrasi_mahasiswa_baru
Kapan batas akhir registrasi mahasiswa baru?,registrasi_mahasiswa_baru
Kalau mau daftar jadi mahasiswa baru UBL gimana caranya?,registrasi_mahasiswa_baru
Daftar kuliah bisa langsung datang ke kampus gak?,registrasi_mahasiswa_baru
Mohon diinformasikan periode resmi registrasi mahasiswa baru.,registrasi_mahasiswa_baru
Bisakah saya mengetahui jadwal registrasi ulang mahasiswa baru tahun ini?,registrasi_mahasiswa_baru
Tolong beri saya informasi waktu pendaftaran mahasiswa baru UBL.,registrasi_mahasiswa_baru
Pada tanggal berapa registrasi mahasiswa baru mulai dibuka?,registrasi_mahasiswa_baru
Kapan masa registrasi untuk calon mahasiswa baru dimulai?,registrasi_mahasiswa_baru
Jadwal registrasi mahasiswa baru semester depan kapan dibuka?,registrasi_mahasiswa_baru
